CÓDIGO DE LA SERIE,D_1NBAS972,D_1NBAC972,D_1NBAD972,D_1NBAE972,D_1NBAF472,D_1NBAS572,D_1NBAC572,D_1NBAD572,D_1NBAE572,D_1NBAF572,D_1T9H0000,D_1T9H0010,D_1T9H0011,D_1T9H0004,D_1E723706.EUR,D_1T9L0001,D_1T9L0002,D_1T9L0008,D_1T9L0009,D_1T9VM001,D_1T9VM002,D_1T9VM003,D_1T9VM004,D_1T9H0011,D_1T9VM006,D_1T9VM007,D_1T9VM008,D_1T9VM009,D_1T9VM010,D_1TFECHABOE,D_1TFECHABOE2,D_1TFECHABOE4,D_1TFECHABOE3,D_1T9H0000,D_1T9H0000A,D_1T9H0000B,D_1T9H0000C
FEB 1979,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,8.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MAR 1979,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,8.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ABR 1979,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,8.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MAY 1979,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,8.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
JUN 1979,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,8.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
JUL 1979,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,8.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AGO 1979,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,8.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SEP 1979,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.750,4.000,-,8.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OCT 1979,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.422,4.000,-,8.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NOV 1979,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.188,4.000,-,8.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DIC 1979,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.706,4.000,-,8.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ENE 1980,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.796,4.000,-,8.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
FEB 1980,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.375,4.000,-,8.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MAR 1980,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.500,4.000,-,8.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ABR 1980,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19.250,4.000,-,8.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MAY 1980,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,8.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
JUN 1980,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,8.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
JUL 1980,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.313,4.000,-,8.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AGO 1980,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.000,4.000,-,8.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SEP 1980,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,8.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OCT 1980,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,8.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NOV 1980,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.937,4.000,-,8.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DIC 1980,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.563,4.000,-,8.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ENE 1981,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.938,4.000,-,8.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
FEB 1981,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.917,4.000,-,8.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MAR 1981,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.581,4.000,-,8.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ABR 1981,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.368,4.000,-,8.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MAY 1981,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.000,4.000,-,8.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
